Stock_ID,Company_Name,Fortune_500_Rank,Primary_Industry,City,State,County,Number_of_Employees,Indeed_Score,Glassdoor_Score
BKNG,Booking Holdings,424,Software,Norwalk,Connecticut,Fairfield County,19400,3.7,3.2
WSM,Williams-Sonoma,425,Retail,San Francisco,California,San Francisco County,28200,3.5,3.2
COTY,Coty Inc.,426,Consumer Goods,New York City,New York,New York County,20000,3.7,3.3
CLX,Clorox,427,Consumer Goods,Oakland,California,Alameda County,9000,4,4
PXD,Pioneer Natural Resources,428,Energy,Irving,Texas,Dallas County,1853,4.2,3.4
DOV,Dover,429,Conglomerate,Downers Grove,Illinois,DuPage County,23000,3.5,3.8
CMS,CMS Energy,430,Energy,Jackson,Michigan,Jackson County,8148,3.8,3.4
ZTS,Zoetis,431,Pharmaceutical,Parsippany,New Jersey,Morris County,11300,3.7,3.9
HBI,Hanesbrands,432,Apparel,Winston-Salem,North Carolina,Forsyth County,61000,3.7,3.7
PKG,Packaging Corp. of America,433,Packaging,Lake Forest,Illinois,Lake County,15500,3.4,3.8
RF,Regions Financial,434,Financial Services,Birmingham,Alabama,Jefferson County,20000,3.6,3.5
GPK,Graphic Packaging Holding,435,Packaging,Atlanta,Georgia,Cobb County,18000,3.1,3.2
UGI,UGI,436,Energy,King of Prussia,Pennsylvania,Montgomery County,7700,3.6,4.6
SFM,Sprouts Farmers Market,437,Retail,Phoenix,Arizona,Maricopa County,35000,3,3.1
AVTR,Avantor,438,Biotechnology,Radnor,Pennsylvania,Delaware County,12400,3.3,3.2
VRTV,Veritiv,439,Paper,Atlanta,Georgia,Cobb County,6400,3.2,3.7
ROK,Rockwell Automation,440,Hardware,Milwaukee,Wisconsin,Milwaukee County,24500,3.9,3.9
MTZ,MasTec,441,Construction,Coral Gables,Florida,Miami-Dade County,17300,3,3.6
DPM,DCP Midstream,442,Energy,Denver,Colorado,Arapahoe County,2650,3.5,3.4
NTRS,Northern Trust,443,Financial Services,Chicago,Illinois,Cook County,20000,3.8,3.9
MTB,M&T Bank,444,Financial Services,Buffalo,New York,Erie County,16840,3.6,3.7
RLGY,Realogy Holdings,445,Real Estate,Madison,New Jersey,Morris County,9435,3.4,3.7
NCR,NCR,446,IT Services,Atlanta,Georgia,Cobb County,36000,3.6,3.6
TROW,T. Rowe Price,447,Investment Management,Baltimore,Maryland,Baltimore County,7678,3.6,3.8
VRTX,Vertex Pharmaceuticals,448,Pharmaceutical,Boston ,Massachusetts,Suffolk County,3400,3.7,4.1
BIG,Big Lots,449,Retail,Columbus,Ohio,Franklin County,34000,3.4,3.2
RL,Ralph Lauren,450,Apparel,New York City,New York,New York County,18250,3.8,3.8
ULTA,Ulta Beauty,451,Consumer Goods,Bollingbrook,Illinois,Will County,37000,3.4,3.5
TMHC,Taylor Morrison,452,Construction,Scottsdale,Arizona,Maricopa County,2300,3.5,4.6
IEP,Icahn Enterprises,453,Conglomerate,Sunny Isles Beach,Florida,Miami-Dade County,2159,3.5,4.5
BX,Blackstone Group,454,Financial Services,New York City,New York,New York County,3165,3.6,4
OI,Owens Illinois,455,Materials,Perrysburg,Ohio,Wood County,25000,3.8,3.8
FBHS,Fortune Brands Home & Security,456,Home & Security,Deerfield,Illinois,Lake County,27500,4.3,4.2
NOV,NOV,457,Equipment,Houston,Texas,Harris County,27631,3.9,3.5
OVV,Ovintiv,458,Energy,Denver,Colorado,Arapahoe County,1916,4,3.4
ALXN,Alexion Pharmaceuticals,459,Pharmaceutical,Boston ,Massachusetts,Suffolk County,2525,3.6,3.8
HUN,Huntsman,460,Chemicals,The Woodlands,Texas,Montgomery County,9000,3.9,3.9
EQIX,Equinix,461,Hardware,Redwood City,California,San Mateo County,10013,3.7,4.2
ABM,ABM Industries,462,Facility Management,New York City,New York,New York County,140000,3.2,3.1
INGR,Ingredion,463,Food,Westchester,Illinois,Cook County,12000,3.7,3.8
CMG,Chipotle Mexican Grill,464,Food,Newport Beach,California,Orange County,64570,3.6,3.4
SBGI,Sinclair Broadcast Group,465,Telecommunications,Hunt Valley,Maryland,Baltimore County,8400,2.9,3.1
LPLA,LPL Financial Holdings Inc.,466,Financial Services,San Diego,California,San Diego County,4658,3.6,3.8
CCI,Crown Castle International,467,Real Estate Communications,Houston,Texas,Harris County,4500,3.8,3.6
KLAC ,KLA,468,Hardware,Milpitas,California,Santa Clara County,11300,4,3.9
AEE,Ameren,469,Energy,St. Louis,Missouri,St. Louis County,8615,3.7,4.2
KBR,KBR,470,Defense,Houston,Texas,Harris County,28000,4.1,3.8
BURL,Burlington Stores,471,Retail,Burlington,New Jersey,Burlington County,40000,3.3,3.2
OLN,Olin,472,Chemicals,Clayton,Missouri,St. Louis County,6400,3.4,3.2
CACI,CACI International,473,IT Services,Reston,Virginia,Fairfax County,20000,3.8,3.8
POST,Post Holdings,474,Food,St. Louis,Missouri,St. Louis County,11410,3.9,3.3
ASO,Academy Sports and Outdoors,475,Retail,Katy,Texas,Harris County,23000,3.4,3.3
ARNC,Arconic,476,Metals,Pittsburgh,Pennsylvania,Allegheny County,13400,2.8,3.4
CE,Celanese,477,Chemicals,Irving,Texas,Dallas County,7714,3.8,3.8
YUM,Yum Brands,478,Food,Louisville,Kentucky,Jefferson County,34000,3.7,3.9
FAST,Fastenal,479,Distribution,Winona,Minnesota,Winona County,2227,3.3,3.6
NDAQ,Nasdaq,480,Financial Services,New York City,New York,New York County,4830,3.7,4
ADI,Analog Devices,481,Electronics,Wilmington,Massachusetts,Middlesex County,15300,3.9,4
MKC,McCormick,482,Food,Hunt Valley,Maryland,Baltimore County,13000,3.7,3.8
CVNA,Carvana,483,Ecommerce,Tempe,Arizona,Maricopa County,10400,2.7,3.5
BEN,Franklin Resources,484,Financial Services,San Mateo,California,San Mateo County,11800,4,3.9
EA,Electronic Arts,485,Software,Redwood City,California,San Mateo County,9800,3.8,4
MDU,MDU Resources Group,486,Energy,Bismark,North Dakota,Burleigh County,10140,4.2,3.3
SEM,Select Medical Holdings,487,Healthcare,Mechanicsburg,Pennsylvania,Cumberland County,47596,3.1,3.6
ROP,Roper Technologies,488,Conglomerate,Sarasota,Florida,Sarasota County,18400,3.6,3.5
RPM,RPM International,489,Materials,Medina,Ohio,Medina County,14600,3.2,3.2
CERN,Cerner,490,Healthcare,Kansas City,Missouri,Jackson County,26400,3.5,3.7
PDCO,Patterson,491,Medical Equipment,Mendota Heights,Minnesota,Dakota County,7500,3.3,4
CMC,Commercial Metals,492,Metals,Irving,Texas,Dallas County,11297,3.7,3.8
BCC,Boise Cascade,493,Materials,Boise,Idaho,Ada County,6010,3.5,3.9
HAS,Hasbro,494,Entertainment,Pawtucket,Rhode Island,Providence County,5600,4.2,3.7
AMRK,A-Mark Precious Metals,495,Metals,El Segundo,California,Los Angeles County,220,2.6,2.6
CWH,Camping World Holdings,496,Retail,Lincolnshire,Illinois,Lake County,11835,2.8,3.2
NTAP,NetApp,497,Hardware,Sunnyvale,California,Santa Clara County,10500,4.1,4.1
CAR,Avis Budget Group,498,Rental,Parsippany,New Jersey,Morris County,30000,3.5,3.5
RRD,RR Donnelley & Sons,499,Printing,Chicago,Illinois,Cook County,33000,3.5,3.3
MCO,Moody's,500,MCO,New York City,New York,New York County,11490,3.7,3.7
