Stock_ID,Company_Name,Fortune_500_Rank,Primary_Industry,City,State,County,Number_of_Employees,Indeed_Score,Glassdoor_Score
NVDA,Nvidia,184,Hardware,Santa Clara,California,Santa Clara County,18100,4.2,4.7
CTSH,Cognizant Technology Solutions,185,IT Services,Teaneck,New Jersey,Bergen County,318400,3.9,3.8
JLL,Jones Lang LaSalle,186,Real Estate,Chicago,Illinois,Cook County,91000,3.7,3.9
SYF,Synchrony Financial,187,Financial Services,Stamford,Connecticut,Fairfield County,16500,3.9,4.2
CL,Colgate-Palmolive,188,Consumer Goods,New York City,New York,New York County,34500,4.3,4.3
ACM,AECOM,189,Professional Services,Dallas ,Texas,Dallas County,51000,3.7,3.7
XPO,XPO Logistics,190,Transportation,Greenwich,Connecticut,Fairfield County,44000,3.2,3.6
CHRW,CH Robinson Worldwide,191,Transportation,Eden Prairie,Minnesota,Hennepin County,15262,3.4,3.6
BLK,BlackRock,192,Investment Management,New York City,New York,New York County,16500,3.8,4.1
D,Dominion Energy,193,Energy,Richmond,Virginia,Henrico County,21000,4,4.1
RKT,Rocket Companies,194,Financial Services,Detroit,Michigan,Wayne County,24000,3.7,3.7
KSS,Kohl's,195,Retail,Menomonee Falls,Wisconsin,Waukesha County,110000,3.7,3.4
FLR,Fluor,196,Construction,Grapevine,Texas,Tarrant County,53349,4.1,3.9
DISH,DISH Network,197,Telecommunications,Englewood,Colorado,Arapahoe County,16000,3.2,3.1
BJ,BJ's Wholesale Club,198,Retail,Westborough,Massachusetts,Worcester County,25000,3.3,3.1
TEN,Tenneco,199,Automotive,Lake Forest,Illinois,Lake County,78000,3.5,3.2
UAL,United Airlines Holdings,200,Aviation,Chicago,Illinois,Cook County,93000,4,4.1
MA,Mastercard,201,Financial Services,Purchase,New York,Westchester County,21000,4.1,4.2
WM,"Waste Management, Inc.",202,Waste Management,Chicago,Illinois,Cook County,42300,3.4,3.6
PBF,PBF Energy,203,Energy,Parsippany,New Jersey,Morris County,3442,3.6,3.8
AEP,American Electric Power,204,Energy,Columbus,Ohio,Franklin County,16800,4,3.8
FISV,Fiserv,205,Financial Services,Brookfield ,Wisconsin,Waukesha County,44000,3.4,3.3
PFG,Principal Financial,206,Financial Services,Des Moines,Iowa,Polk County,17600,3.9,4
RGA,Reinsurance Group of America,207,Reinsurance,Chesterfield,Missouri,St. Louis County,2640,4.2,4.3
