Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Tampa-St. Petersburg-Clearwater, FL",Florida,2018,1352.1,0.3,78,67.3,249.3,25.6,116.9,241.8,211,159,46.8,156.2
"Terre Haute, IN",Indiana,2018,68.3,,3.8,10.6,12.4,0.6,2.5,4.7,11.9,7.6,2.9,11.3
"Texarkana, TX-AR",Texas,2018,59.7,,2.7,5.4,13.3,0.3,2.3,4.2,9.6,6.8,2.1,12.9
"The Villages, FL",Florida,2018,30,,,,,,,,,,,5.1
"Toledo, OH",Ohio,2018,310.1,,14.5,45.2,57.6,2.9,11.2,37.1,51.1,33.5,12,45.1
"Topeka, KS",Kansas,2018,112.1,,5.6,7.8,17.1,1.4,7.9,13.4,18.6,8.8,4.9,26.7
"Trenton-Princeton, NJ",New Jersey,2018,276.2,,5.5,10.5,38.6,4.4,20.3,47.7,49.2,15.9,10.2,73.8
"Tucson, AZ",Arizona,2018,382.3,1.9,16.9,26.6,61.6,5.6,17.7,50.5,66.3,44.7,13.4,77.2
"Tulsa, OK",Oklahoma,2018,456.4,6.8,24.8,54.5,83.2,7,23.3,62,71.8,45.3,20.5,57.3
"Tuscaloosa, AL",Alabama,2018,109.9,,6.5,17.1,16.3,1.6,4.1,10.7,9.3,11.6,4.1,28.6
"Twin Falls, ID",Idaho,2018,46.5,,,,,,,,,,,6.4
"Tyler, TX",Texas,2018,106.6,,6.6,6.2,23.1,1.6,4.3,10.6,24.3,11.5,4.1,14.4
"Urban Honolulu, HI",Hawaii,2018,473.3,,27,11.5,87.2,7.8,22.7,56.7,65.8,75.7,21.9,97
"Utica-Rome, NY",New York,2018,127.8,,3.5,11.4,20.3,1,7.1,8.3,28.8,10.8,4.8,31.8
"Valdosta, GA",Georgia,2018,56.1,,,,12.4,,,,,,,13.2
"Vallejo, CA",California,2018,142.1,0.6,11.2,12.7,27.8,1.1,5.2,10.1,28.4,15.6,4.5,24.9
"Victoria, TX",Texas,2018,41.6,,4.5,2,10.7,0.4,1.7,2.5,6.2,4.5,1.9,7.4
"Vineland-Bridgeton, NJ",New Jersey,2018,59,,2.8,9.1,13.3,0.6,1.2,4.1,11.2,3.6,2,11
"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia,2018,792.4,,38.3,56.8,131,10.8,39,113.7,113.7,94.6,34.4,160.2
"Visalia, CA",California,2018,126.3,,6.1,13,28,0.7,4.1,11,16.1,11.8,3.5,32.3
"Waco, TX",Texas,2018,121,,7.5,15.9,21.1,1.1,7.6,11.8,20.7,12.5,3.6,19.4
"Walla Walla, WA",Washington,2018,28,,1,4.1,3.9,0.3,0.9,1,7.1,2.5,0.7,6.4
"Warner Robins, GA",Georgia,2018,75.6,,,,11,,,,,,,27.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,2018,4100.6,,176.6,56.8,441.6,94.1,188.7,929.1,573.2,413.4,285.5,941.6
"Waterloo-Cedar Falls, IA",Iowa,2018,90.9,,,16.7,17.4,,4.8,6.8,14.3,7.9,,14.4
"Watertown-Fort Drum, NY",New York,2018,42.1,,1.8,2.1,8.5,0.6,1.3,2.5,6.8,4.7,2,11.9
