Area,State,Year,Total,Mining_and_Logging,Construction,Manufacturing,Trade_transportation_and_utilities,Information,Financial_activities,Professional_and_business services,Education_and_health_services,Leisure_and_hospitality,Other_services,Government
"Fayetteville, NC",North Carolina,2019,132,,6,8.7,23.4,1.1,3.8,11.8,15.5,16.9,4.7,40.1
"Fayetteville-Springdale-Rogers, AR",Arkansas,2019,264.6,,12.4,30.4,56.7,2.1,8.3,50.5,29.9,27.2,9.7,37.4
"Flagstaff, AZ",Arizona,2019,68,,2.6,3.8,9.3,0.4,1.5,3.5,9.5,15.7,1.8,19.9
"Flint, MI",Michigan,2019,138.7,,5.8,13.2,28.8,1.3,6,17,26.8,15.7,5.3,18.8
"Florence, SC",South Carolina,2019,92.5,,,,19,,,,,,,17.7
"Florence-Muscle Shoals, AL",Alabama,2019,57.6,,3.7,9,11.5,0.4,2.4,4.1,7.3,6.5,2.5,10.2
"Fond du Lac, WI",Wisconsin,2019,49,,3.3,11.4,8.8,0.9,2,2.6,7.6,4.3,2.5,5.6
"Fort Collins, CO",Colorado,2019,174.1,,11.8,14.6,27.9,3.4,6.9,20.4,18.8,22.1,6.7,41.7
"Fort Smith, AR-OK",Arkansas,2019,113.5,,5.8,17.4,23.2,1.2,4,12.4,17.4,9.5,4.6,18.3
"Fort Wayne, IN",Indiana,2019,227.9,,11.5,38,44,2.4,12.1,22.2,42.3,21.7,12.6,21.1
"Fresno, CA",California,2019,363.3,0.3,19,26.2,70,3.4,14.3,34.6,72.5,35.7,12.1,75.2
"Gadsden, AL",Alabama,2019,37.4,,1,5.3,6.8,0.3,1.3,4,7.8,4,1.6,5.3
"Gainesville, FL",Florida,2019,148,,6,4.8,21,1.8,6.9,15.4,27.5,16.1,4.3,44
"Gainesville, GA",Georgia,2019,93.9,,,,17.6,,,,,,,10.8
"Gettysburg, PA",Pennsylvania,2019,35.2,,1.8,7.7,5.3,,,,7.1,4.7,,4.2
"Glens Falls, NY",New York,2019,54.7,,2.5,5.9,9.3,0.9,1.9,5.3,8.3,7.8,2.3,10.4
"Goldsboro, NC",North Carolina,2019,41.4,,,,,,,,,,,9.2
"Grand Forks, ND-MN",North Dakota,2019,55.1,,3,4.6,10.8,0.5,1.9,3.3,9.8,5.9,2,13.5
"Grand Island, NE",Nebraska,2019,42.2,,,,,,,,,,,6.6
"Grand Junction, CO",Colorado,2019,65.2,,6.9,3.1,13.3,0.6,3.2,5.2,11.6,7.9,2.7,10.8
"Grand Rapids-Kentwood, MI",Michigan,2019,569,,25.8,119,98.3,6.6,27,77.5,94,49.9,22.8,48.1
"Grants Pass, OR",Oregon,2019,27.7,0.1,1.1,3.1,5.4,0.3,1.6,2.3,5.8,3.6,1,3.4
"Great Falls, MT",Montana,2019,36,,,,7.6,,,3.4,7.6,4.9,,5.4
"Greeley, CO",Colorado,2019,113.4,,21.4,14.3,19.5,0.7,4.5,11,10.5,9.8,3.8,18
"Green Bay, WI",Wisconsin,2019,180.3,,8,31.2,33.8,1.5,12.1,19.7,27.5,16.7,8.8,21
"Greensboro-High Point, NC",North Carolina,2019,364.4,,15.8,53.6,78,4.7,18.8,48.1,51.9,37.8,12.7,43
"Greenville, NC",North Carolina,2019,81.1,,3.7,6.6,11.8,0.6,2.5,6.7,9.5,9.6,2.3,27.9
"Greenville-Anderson, SC",South Carolina,2019,433.5,,19.2,57.8,77.7,6.6,19.5,75,52.5,47,14.9,63.4
"Gulfport-Biloxi, MS",Mississippi,2019,156.3,,7.9,17.2,24.7,1.4,5.2,16,13.1,31.7,5.3,33.9
"Hagerstown-Martinsburg, MD-WV",Maryland,2019,105.5,,4.3,9.5,26.7,2.1,5.7,9.8,16.6,10.3,2.9,17.6
"Hammond, LA",Louisiana,2019,46.3,,,,,,,,,,,11.9
"Hanford-Corcoran, CA",California,2019,41.5,,1,4.9,7.2,0.1,0.9,1.2,6.7,3.6,0.7,15.1
"Harrisburg-Carlisle, PA",Pennsylvania,2019,351.9,,12.1,22,75,3.5,21.8,51.1,60.1,32.4,15.6,58.4
"Harrisonburg, VA",Virginia,2019,69.7,,,,13.5,,,,,,,12.7
"Hartford-East Hartford-Middletown, CT",Connecticut,2019,587,,20.1,60.2,91.1,9.8,56.3,73.8,113.3,48.3,22.7,91.5
"Hattiesburg, MS",Mississippi,2019,65.5,,,4.8,13.7,,,,,8.4,,14.7
"Hickory-Lenoir-Morganton, NC",North Carolina,2019,155.5,,4.6,41.9,30.3,0.7,3.2,13.9,19.3,14.3,4.7,22.6
"Hilton Head Island-Bluffton, SC",South Carolina,2019,84.2,,,,,,,,,,,11.8
"Hinesville, GA",Georgia,2019,21.2,,,,,,,,,,,7.9
"Homosassa Springs, FL",Florida,2019,33.3,,,,,,,,,,,4.4
"Hot Springs, AR",Arkansas,2019,39.5,,,,,,,,,,,4.4
"Houma-Thibodaux, LA",Louisiana,2019,87.4,6.4,4.8,,22.8,,,,,8.2,,12.3
"Houston-The Woodlands-Sugar Land, TX",Texas,2019,3160.1,80,236.1,236,630.5,32.5,166.6,508.1,404.4,334.3,116.1,415.5
"Huntington-Ashland, WV-KY-OH",West Virginia,2019,134.6,,7.8,11.1,26.3,1.2,4.6,13.1,28.6,14.5,4.5,23
"Huntsville, AL",Alabama,2019,245.2,,9.5,25.9,35.1,2.4,7,60,22.3,22.6,8.6,51.9
"Idaho Falls, ID",Idaho,2019,70.2,,4.5,4.6,14.2,0.7,2.6,14.9,11.2,6.8,2.1,8.5
"Indianapolis-Carmel-Anderson, IN",Indiana,2019,1093.3,0.7,53.8,94.2,228.8,13.6,71.9,173.2,164.4,110.9,45.9,136.2
"Iowa City, IA",Iowa,2019,101.3,,,,16.7,,,6.2,,10.2,,40
"Ithaca, NY",New York,2019,63.7,,1.3,2.8,6,0.5,1.7,3.7,32.5,4.8,1.8,8.6
"Jackson, MI",Mississippi,2019,279.7,1,10.2,20.5,52.6,3.5,15.7,33.9,44.8,27,13.4,57.1
"Jackson, MS",Michigan,2019,58.8,,2.1,10,12.3,0.3,2.2,5.9,10.2,5.2,2.6,8.1
"Jackson, TN",Tennessee,2019,69.6,,3.1,11,12.3,0.5,2.1,6.6,11.4,6.4,2,14.2
"Jacksonville, FL",Florida,2019,724.1,0.5,46,32.6,157.1,9,67.1,110,110.3,86.9,27,77.7
"Jacksonville, NC",North Carolina,2019,49.9,,,,,,,,,,,14.2
"Janesville-Beloit, WI",Wisconsin,2019,70.4,,3.5,10.6,16.5,1.4,1.9,6.3,11.2,7.1,3.4,8.5
"Jefferson City, MO",Missouri,2019,78.2,,,,14,,,,,,,24.7
"Johnson City, TN",Tennessee,2019,81.5,,2.5,8.2,13.8,1.2,4.5,8.4,14.3,9.4,2.8,16.5
"Johnstown, PA",Pennsylvania,2019,54,,2.5,4.3,10.3,0.7,2.5,4.7,14,4.5,2.9,7.5
"Jonesboro, AR",Arkansas,2019,60.3,,,,,,,,,,,9.1
"Joplin, MO",Missouri,2019,81,,,13.6,20.9,,,,13.6,,,9.4
"Kahului-Wailuku-Lahaina, HI",Hawaii,2019,80.7,,4.4,1.2,16.4,0.6,3.1,7.4,9.3,25.7,3.4,9.2
"Kalamazoo-Portage, MI",Michigan,2019,150.9,,6.5,23.1,26.4,0.8,8.2,17.8,25.3,16.2,5.3,21.3
"Kankakee, IL",Illinois,2019,45.9,,1.4,7.3,9.6,0.4,1.5,5.2,8.7,4.3,1.6,5.9
"Kansas City, MO-KS",Missouri,2019,1097.9,,52.7,81.1,218.9,16.3,79.4,188,159.2,111.9,42.8,147.5
"Kennewick-Richland, WA",Washington,2019,118.4,,10.3,8.4,19.7,0.8,4.2,21.8,18.2,12.1,3.8,19.2
"Killeen-Temple, TX",Texas,2019,145.1,,6.9,7.7,27.5,1.3,6.6,11.7,23.8,16.1,5.3,38.3
"Kingsport-Bristol, TN-VA",Tennessee,2019,120.8,,5.9,21.3,23.3,1.2,3.8,12.4,18.1,13.2,5.6,16.1
"Kingston, NY",New York,2019,62.2,,3,3.4,11.6,1,2.3,4.6,10.6,8.5,3,14.2
"Knoxville, TN",Tennessee,2019,405.4,,18.9,41.2,79,6,19.8,65.3,55.6,44.4,16.1,59.3
"Kokomo, IN",Indiana,2019,39.8,,1.2,11.3,6.6,0.2,1.2,,,4.5,2,4.7
"La Crosse-Onalaska, WI-MN",Wisconsin,2019,78.6,,3,8.6,15.6,1,4.3,5.8,17.4,8.1,4.7,10.2
"Lafayette, LA",Louisiana,2019,205.2,13.6,9.3,16.3,41.8,2.4,11.2,21.8,32.8,21.2,7.2,27.6
"Lafayette-West Lafayette, IN",Indiana,2019,106.3,,3.8,19.8,14.6,0.8,3.3,8,13.3,10.2,4.5,28.1
"Lake Charles, LA",Louisiana,2019,114.5,0.3,23.6,10.7,18.3,,,10.3,,14.9,,15.3
"Lake Havasu City-Kingman, AZ",Arizona,2019,52.1,,3.5,3.2,12.7,0.5,1.8,3.8,9,7.5,1.9,8.3
"Lakeland-Winter Haven, FL",Florida,2019,235.7,,14.3,18,61.3,1.9,13.3,32.5,34.5,24.6,6.6,28.6
"Lancaster, PA",Pennsylvania,2019,259.8,,18.3,37.3,60.4,2.7,9.2,26.5,47.4,25.4,12.6,20.1
"Lansing-East Lansing, MI",Michigan,2019,237.7,,8.2,19.3,36.4,3,17.2,24.3,32.6,19.4,10.2,67.2
"Laredo, TX",Texas,2019,108,,4.1,0.7,32.5,0.8,3.8,10.4,17.5,11.7,2.4,24.1
"Las Cruces, NM",New Mexico,2019,74.1,,3.8,2.7,10.9,0.7,2.6,7.7,16.2,8.4,1.5,19.6
"Las Vegas-Henderson-Paradise, NV",Nevada,2019,1037.2,0.4,69.9,25.8,185.1,11.5,53.8,152.4,105.5,294.2,31.9,106.5
"Lawrence, KS",Kansas,2019,53.1,,,,7.4,,,5.2,5.8,7.1,,15.6
"Lawton, OK",Oklahoma,2019,45.1,,1.6,3.6,6.8,0.9,2.2,4.6,4.2,5.1,1.2,15
"Lebanon, PA",Pennsylvania,2019,53.9,,,9.4,12.2,,,,9,,,8.3
"Lewiston, ID-WA",Idaho,2019,28.5,0.2,1.6,3.8,5.1,0.4,1.5,1.4,5.5,2.8,0.9,5.3
"Lewiston-Auburn, ME",Maine,2019,51.4,,2.9,5.2,10.4,0.4,2.3,6.7,12.3,4.1,1.5,5.7
"Lexington-Fayette, KY",Kentucky,2019,279,,13.9,30.3,52,2.7,10,37.7,37,32.4,10.1,53
"Lima, OH",Ohio,2019,53,,2.2,9.1,9.7,,,5.2,11.5,5,,6.1
"Lincoln, NE",Nebraska,2019,193.1,,9.4,13.5,33.7,3.4,12.9,21.8,30.5,19.4,7.2,41.5
"Little Rock-North Little Rock-Conway, AR",Arkansas,2019,365.6,,17.8,21.1,70.5,5.6,22,47.2,58.2,34.6,17.7,70.8
"Logan, UT-ID",Utah,2019,65,,3.2,12.3,9.6,0.7,1.8,7.7,7.5,5.3,1.1,15.8
"Longview, TX",Texas,2019,99.8,,15.6,10,19.5,1.1,4.4,9,15.8,9.2,3.2,12.1
"Longview, WA",Washington,2019,41,,3.5,6.7,8,,,,7.1,3.7,,6.5
"Los Angeles-Long Beach-Anaheim, CA",California,2019,6235,2.4,256,500.5,1110.9,243.8,341.1,972.6,1073,774.9,210.4,749.4
"Louisville/Jefferson County, KY-IN",Kentucky,2019,674.6,,29.7,83.1,151.1,9,46.9,87,97.3,70.5,25.9,74.1
"Lubbock, TX",Texas,2019,150.7,,8.8,4.9,30.8,2.8,7.7,12.9,22.5,20.6,6.2,33.6
"Lynchburg, VA",Virginia,2019,105.9,,6,14.7,19.4,0.7,5.1,11.5,19.9,10.9,4.3,13.3
"Macon-Bibb County, GA",Georgia,2019,102.9,,,,19.5,,9.8,12.1,21.7,10.6,,14.8
"Madera, CA",California,2019,39.7,,1.9,3.4,5.8,0.3,0.8,2.7,8.8,3.7,1.1,11.2
"Madison, WI",Wisconsin,2019,412.7,,18.4,36.4,64.7,17.1,23.9,53.1,50.9,38.5,20.7,89
"Manchester-Nashua, NH",New Hampshire,2019,116.8,,5.5,8,20.2,3.5,8,17.4,26.9,10.5,4.9,11.9
"Manhattan, KS",Kansas,2019,42.3,,,,,,,,,,,13.3
"Mankato, MN",Minnesota,2019,58.7,,,,,,,,,,,9.6
"Mansfield, OH",Ohio,2019,52.1,,2.2,9.9,10,,1.4,4.8,8.1,5.5,2.2,7.7
"McAllen-Edinburg-Mission, TX",Texas,2019,270.8,,8.2,7.2,53.6,2.9,8.9,17.6,79.7,26.9,5.8,60.1
"Medford, OR",Oregon,2019,89.9,0.5,4.8,8.1,20,1.2,4.1,7.8,17.8,11.5,2.8,11.4
"Memphis, TN-MS-AR",Tennessee,2019,655.6,,23.9,45,176.5,5.5,29.6,96.2,98.9,68.3,27.6,84.1
"Merced, CA",California,2019,70.1,,2.6,10,13.3,0.3,1.9,4.4,10.6,6.1,1.5,19.5
"Miami-Fort Lauderdale-Pompano Beach, FL",Florida,2019,2725.2,0.7,142.3,91.5,615.2,51,189.8,452,411.6,334,120.8,316.5
"Michigan City-La Porte, IN",Indiana,2019,41.4,,2,8.1,8.1,0.2,1.3,2.8,5.7,5.5,1.2,6.5
"Midland, MI",Texas,2019,113.7,,39.5,4.3,22.2,0.9,4.9,10.5,7,10.9,4,9.6
"Midland, TX",Michigan,2019,37.4,,,,,,,,,,,3
"Milwaukee-Waukesha, WI",Wisconsin,2019,875.1,0.5,33,120.3,146.1,13.5,50.4,124.7,173,81.9,46.9,84.8
"Minneapolis-St. Paul-Bloomington, MN-WI",Minnesota,2019,2036,,86.6,200.8,357,35.5,159.9,330.5,345.1,191.9,78.9,249.8
"Missoula, MT",Montana,2019,63.1,,,,12.7,,,7.1,10.9,8.4,,10.8
"Mobile, AL",Alabama,2019,186.5,,11.7,18.7,36.5,2,8.5,24.8,28.4,18.2,12.1,25.6
"Modesto, CA",California,2019,181.4,,10.5,21.4,37.7,1,5.3,15.3,34.7,19.2,5.9,30.3
"Monroe, LA",Michigan,2019,41.4,,1.9,5.7,10.7,,0.9,5.5,5.1,4.5,1.5,5.3
"Monroe, MI",Louisiana,2019,78.7,,,6.4,14,,,8.6,15.9,8.5,,12.6
"Montgomery, AL",Alabama,2019,177.7,,6.7,18.2,29.8,2.2,7.5,21.9,20.4,17.3,9.5,44.3
"Morgantown, WV",West Virginia,2019,71,,,3.7,,,,7.7,15.6,7.4,,18.1
"Morristown, TN",Tennessee,2019,47.2,,1.9,12.3,9.7,0.3,1,4.1,5.7,4.3,1.2,6.6
"Mount Vernon-Anacortes, WA",Washington,2019,52.6,,4.9,6.5,10,,,,,5.3,,11.9
"Muncie, IN",Indiana,2019,50.3,,1.8,4.1,8.6,0.3,2.3,,9.2,5.4,1.9,11.5
"Muskegon, MI",Michigan,2019,64.3,,2.5,13.9,13.6,0.4,1.8,3.5,11.7,7.5,2.2,7.2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",South Carolina,2019,175.2,,10.8,4.7,37.8,2.3,9.1,16.4,19.6,44.3,6.7,23.7
"Napa, CA",California,2019,74.8,,4.7,13.7,10.3,0.3,2.3,7.2,10.3,13.7,2.1,10.2
"Naples-Marco Island, FL",Florida,2019,155.6,,17.7,4.7,29.2,1.4,8.8,17.3,23.1,30,9.2,14.3
"Nashville-Davidson--Murfreesboro--Franklin, TN",Tennessee,2019,1046.4,,49,84.8,201.2,24.8,71.1,174.9,155.2,121.6,43.5,120.3
"New Bern, NC",North Carolina,2019,45.2,,,,,,,,,,,14.3
"New Orleans-Metairie, LA",Louisiana,2019,585.3,4.3,29.2,30.1,112.7,8.1,31.3,76.4,103.2,91.9,24.4,73.7
"New York-Newark-Jersey City, NY-NJ-PA",New York,2019,9974.9,,419.5,360.7,1736.9,307.2,792.6,1591.8,2060.6,947.7,428.3,1329.6
"Niles, MI",Michigan,2019,63.1,,2.5,13.2,10.6,0.5,2.5,5.7,9.6,7.6,2.4,8.6
"North Port-Sarasota-Bradenton, FL",Florida,2019,314.3,,26.4,17.1,60,3.5,15.4,46.2,56.3,46.1,14.8,28.5
"Norwich-New London, CT",Connecticut,2019,129.8,,4.1,17.8,22,1.4,2.9,9.1,21.9,17,3.5,30.2
"Ocala, FL",Florida,2019,108.3,,8.5,9.3,26.1,0.6,3.9,9.5,18.8,13.5,3,15.3
"Ocean City, NJ",New Jersey,2019,43.4,,,,7.9,,,,4.9,12.3,,8.3
"Odessa, TX",Texas,2019,84.2,,22.4,5.2,19.1,0.7,3.6,4.8,5.3,9,3.8,10.3
"Ogden-Clearfield, UT",Utah,2019,268.3,,20.5,35.3,47,1.9,11,31.5,34.7,25.4,6.8,54
"Oklahoma City, OK",Oklahoma,2019,660.9,18.9,32.1,34.5,115.4,7.1,33.8,88.1,97.3,74.6,28.8,130.3
"Olympia-Lacey-Tumwater, WA",Washington,2019,120.9,,6.9,3.1,19.2,1.5,4,12.3,18.8,11.1,4.9,39.1
"Omaha-Council Bluffs, NE-IA",Nebraska,2019,507,,30.5,33.6,96.1,10.5,46,73.1,79.7,52,18.6,66.9
"Orlando-Kissimmee-Sanford, FL",Florida,2019,1327.3,0.3,85.9,49.3,242.8,25.6,78.3,235.9,160.7,276.2,44.8,127.6
"Oshkosh-Neenah, WI",Wisconsin,2019,96.9,,5.6,22.4,15.1,1.4,4.5,12,11.5,7.4,5.5,11.7
"Owensboro, KY",Kentucky,2019,53.2,,2.7,8.9,10.1,0.4,3.5,4.5,9.7,5.1,1.7,6.7
"Oxnard-Thousand Oaks-Ventura, CA",California,2019,312.8,0.9,17.1,26.6,57.8,5.2,15.9,44.4,49.6,38.5,9.7,47.1
"Palm Bay-Melbourne-Titusville, FL",Florida,2019,231.7,,15.4,27.4,38.2,2.4,8.6,35.2,38.3,28.6,9,28.4
"Panama City, FL",Florida,2019,80.7,,6.9,3,15.7,0.8,4.5,11.1,9.6,12.9,2.7,13.5
"Parkersburg-Vienna, WV",West Virginia,2019,38.5,,,2.8,,,,,6.8,,,7.6
"Pensacola-Ferry Pass-Brent, FL",Florida,2019,185.9,,12.2,7.1,33.8,1.7,14.9,24.4,31,25.8,6.6,28.6
"Peoria, IL",Illinois,2019,171.2,,7.7,23.3,31.4,1.9,7.1,22.6,31.1,17.6,7.8,20.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Pennsylvania,2019,2981.3,,120.7,183.8,530.4,51.8,217.9,470.3,668.7,277.4,122.8,337.5
"Phoenix-Mesa-Chandler, AZ",Arizona,2019,2180.2,3.5,133.1,133.7,410.4,40.6,200.6,371.9,339.1,233.3,70.3,243.9
"Pine Bluff, AR",Arkansas,2019,32.7,,,,,,,,,,,9
"Pittsburgh, PA",Pennsylvania,2019,1193.1,11.7,63,87,207.8,19,76.5,182.9,260.3,120.5,49.7,114.8
"Pittsfield, MA",Massachusetts,2019,40.9,,2.1,3.2,7.1,0.8,1.9,4.3,9.2,5.3,1.7,5.4
"Pocatello, ID",Idaho,2019,37.3,,1.9,2.3,6.8,0.3,1.6,4.5,6.3,4.2,1.2,8.2
"Portland-South Portland, ME",Florida,2019,155.6,,12,7.5,31,1.2,5.9,20.7,28.6,20.9,8,19.8
"Portland-Vancouver-Hillsboro, OR-WA",Maine,2019,213.1,,10.2,14.4,38.8,3.3,17.1,29.8,43.3,24.8,8.1,23.5
"Port St. Lucie, FL",Oregon,2019,1228.1,1.3,76,129.3,221.8,26.4,73.5,190,188.1,126.5,42.8,152.6
"Poughkeepsie-Newburgh-Middletown, NY",New Hampshire,2019,94.2,,2.7,8.8,16.9,2.2,5.4,13.9,14.3,12.4,2.9,14.6
"Prescott Valley-Prescott, AZ",Arizona,2019,65.9,,6.3,3.8,12.7,0.5,2.1,4.4,12.5,10.5,2.4,11
"Provo-Orem, UT",Utah,2019,270.6,,25.4,20.6,44.4,13.9,9.5,39.1,56,22.8,5.8,33.1
"Pueblo, CO",Colorado,2019,63.7,,3.6,4.7,11.9,0.6,1.9,6.5,12.9,6.8,2.2,12.7
"Punta Gorda, FL",Florida,2019,50,,4.3,0.8,11.7,0.4,2.3,4.4,10,7.8,2.2,6.2
"Racine, WI",Wisconsin,2019,78.7,,3.1,17.7,14.8,0.5,2.4,6.8,12.1,7.8,3.8,9.6
"Raleigh-Cary, NC",North Carolina,2019,645.9,,41.2,31.3,112.7,22.5,33.6,124.1,82,73.4,26.7,98.3
"Rapid City, SD",South Dakota,2019,69.1,,5,2.8,13.4,0.8,3.7,5.9,12.2,10.4,3.4,11.3
"Reading, PA",Pennsylvania,2019,181.8,,7.9,32.2,33.6,1.1,6,24.6,32.3,15.2,8.1,20.8
"Redding, CA",California,2019,67.3,,3.9,2.6,13,0.5,2.8,6.1,15.5,7,2.4,13.6
"Reno, NV",Nevada,2019,248,0.3,18.2,25.4,54.3,3.1,10.9,32.1,28,39,6.5,30.3
"Richmond, VA",Virginia,2019,687,,40.1,32,121.9,7,53,118.8,102.1,68.6,30.9,112.6
"Riverside-San Bernardino-Ontario, CA",California,2019,1552.1,1.2,107.2,100.6,394.4,11.5,45,158.7,250.3,175.9,46.2,261.2
"Roanoke, VA",Virginia,2019,162.8,,9,15.6,33,1.3,8.1,22.3,28,15.5,7.3,22.9
"Rochester, MN",New York,2019,539.7,0.7,21.9,56.9,82.5,7.8,22.4,69,133,46.9,19.1,79.7
"Rochester, NY",Minnesota,2019,124.1,,5.1,11.1,17.5,1.5,2.8,5.7,52,11.5,3.9,13.1
"Rockford, IL",Illinois,2019,150.6,,5.5,31.9,30.1,1.6,5,13.3,24.9,14.6,8.6,15.3
"Rocky Mount, NC",North Carolina,2019,56.1,,2.7,10.3,11.7,,,4.9,6.8,5.3,,10.6
"Rome, GA",Georgia,2019,41.8,,,6.2,7.7,,,,10.7,,,5.7
"Sacramento-Roseville-Folsom, CA",California,2019,1022.7,0.5,69.4,36.8,161.3,11.9,52.5,137.4,166.6,109.6,35.4,241.4
"Saginaw, MI",Michigan,2019,87.7,,3.2,12.2,16.8,1.3,3.8,11.2,16,9,3.1,11.1
"Salem, OR",Oregon,2019,173.2,0.6,12.3,13.2,28.9,1.4,7.1,15.6,31,15.8,5.4,41.9
"Salinas, CA",California,2019,145.1,0.3,6.5,5.3,26.6,1,4.4,14.7,20.4,26.1,5.1,34.7
"Salisbury, MD-DE",Delaware,2019,164.6,,9.4,14.6,31.7,1.2,6.4,15.4,26.5,29.4,5.7,24.4
"Salt Lake City, UT",Utah,2019,752.8,,46.8,59.2,149.5,20.5,60.2,131.3,86.6,64.5,22.6,111.6
"San Angelo, TX",Texas,2019,50,,4,3.3,9.8,0.7,2.6,4.1,8,6.3,2,9.3
"San Antonio-New Braunfels, TX",Texas,2019,1077.5,10.8,56.3,51.2,183,20.2,94,142.4,168.4,138.2,39.6,173.6
"San Diego-Chula Vista-Carlsbad, CA",California,2019,1503.2,0.4,84,115.7,224.2,23.5,76.5,255.7,216.6,201.7,56.4,248.6
"San Francisco-Oakland-Berkeley, CA",California,2019,2482.9,0.3,127.6,145.7,374,128.2,146.7,499.9,365.5,284.4,88.4,322.1
"San Jose-Sunnyvale-Santa Clara, CA",California,2019,1149.9,0.2,53,172,130.6,100.6,37.9,243.1,178.7,107.5,28.9,97.3
"San Luis Obispo-Paso Robles, CA",California,2019,119.5,,8.3,7.8,20.5,1.2,3.9,11.2,18.2,19.8,4.1,24.5
"Santa Cruz-Watsonville, CA",California,2019,103.7,,4.5,7.1,16.8,0.6,3.4,10.9,18,14.8,5.3,22.4
"Santa Fe, NM",New Mexico,2019,63.3,,3,0.9,10,0.9,2.5,5.5,10.6,11.6,3.4,15
"Santa Maria-Santa Barbara, CA",California,2019,194,1.1,8.9,12.9,27.2,4.1,6.9,29.7,28.4,29,6.5,39.4
"Santa Rosa-Petaluma, CA",California,2019,209,0.2,16.5,23.4,36.1,2.6,8.7,23.4,35.8,25.8,7.1,29.5
"Savannah, GA",Georgia,2019,189.9,,8.2,18.7,43.4,2.8,6.4,24.2,26.7,27.1,7.6,24.8
"Scranton--Wilkes-Barre, PA",Pennsylvania,2019,263.2,,10.5,28.6,63.5,2.9,13.1,28.3,55.2,23.5,8.8,29
"Seattle-Tacoma-Bellevue, WA",Washington,2019,2090.8,1.1,128.8,184.3,398,128.4,103.1,302.1,283,207.8,78.7,275.5
"Sebastian-Vero Beach, FL",Florida,2019,54.4,,4.5,2.3,10.6,0.6,2.8,6.5,10.9,8.3,2.8,5.3
"Sebring-Avon Park, FL",Florida,2019,26.2,,,,,,,,,,,4.3
"Sheboygan, WI",Wisconsin,2019,63.5,,2.3,22.8,9.2,0.2,3,4.2,8,5.3,2.8,5.8
"Sherman-Denison, TX",Texas,2019,48.8,,3,5.7,8.8,0.4,2.5,3.4,11,5.6,1,7.3
"Shreveport-Bossier City, LA",Louisiana,2019,181.1,5,7.8,11,36.6,1.8,7.5,18.5,32.7,23.5,6.5,30.3
"Sierra Vista-Douglas, AZ",Arizona,2019,33.9,,1.9,0.6,5.9,0.4,0.8,4.4,4.6,3.6,0.7,10.9
"Sioux City, IA-NE-SD",Iowa,2019,88.5,,,17.9,19,,,8,,8.2,,10.7
"Sioux Falls, SD",South Dakota,2019,160.1,,9.3,14.4,32.8,2.6,15.7,15.8,33.2,15.7,5.9,14.7
"South Bend-Mishawaka, IN-MI",Indiana,2019,146.6,,6,17.3,26,1.4,6.1,14.3,39.7,14.8,6.2,14.9
"Spartanburg, SC",South Carolina,2019,165.5,,7.7,37.3,34.9,0.7,4.9,19.3,14.7,14.4,5.4,26.3
"Spokane-Spokane Valley, WA",Washington,2019,255.6,,15.1,18.1,47.3,3.4,14.8,26.8,52.5,24.3,10.1,43.1
"Springfield, IL",Illinois,2019,108.3,,3.7,3.3,16.4,2.6,6.4,10.7,21.5,10.7,6.2,26.9
"Springfield, MA",Massachusetts,2019,339.5,,11.8,29.6,60.1,3.1,16.2,26.6,83.5,32.9,13.2,62.5
"Springfield, MO",Missouri,2019,219.2,,9.4,17,49.2,4,11.7,24.2,41,22.8,9,30.6
"Springfield, OH",Ohio,2019,49.8,,1.2,7.1,9.4,,3.5,5.3,8.9,5.2,2,7.1
"St. Cloud, MN",Minnesota,2019,110.7,,7,15.6,22.6,1.5,5.5,9.4,21.7,8.3,4.1,15.2
"St. George, UT",Utah,2019,70.6,,8.1,3.5,16.1,0.8,2.7,5.7,12.2,10,2.1,9.4
"St. Joseph, MO-KS",Missouri,2019,62.5,,,,10.7,,,,,,,11.6
"St. Louis, MO-IL",Missouri,2019,1406.1,,68.5,119.1,258.7,27.2,92.6,213.6,264.5,152.7,51.8,157.5
"State College, PA",Pennsylvania,2019,80.1,,,4.3,9.7,,,6.7,10.1,7.4,,32.2
"Staunton, VA",Virginia,2019,51.5,,,,,,,,,,,8.8
"Stockton, CA",California,2019,247,0.1,13.1,20.6,69.1,1.6,7.9,20.2,39.1,22.6,7.8,44.9
"Sumter, SC",South Carolina,2019,39.7,,,7,,,,,,,,6.7
"Syracuse, NY",New York,2019,320.4,,13.2,26.1,60.3,4.3,14.5,35.9,65.6,29.8,11.9,58.8
"Tallahassee, FL",Florida,2019,186.6,,8.8,3.4,24.6,3.1,7.8,22.3,24.8,20.9,9,62.1
"Tampa-St. Petersburg-Clearwater, FL",Florida,2019,1385.6,0.3,81.6,69,252.6,25.6,121.7,248.6,218.7,162.8,47.5,157.3
"Terre Haute, IN",Indiana,2019,67.6,,3.7,10,12.4,0.5,2.5,4.5,12.1,7.6,2.8,11.5
"Texarkana, TX-AR",Texas,2019,60.6,,2.9,5.5,13.5,0.3,2.3,4.4,9.8,7,2.1,12.9
"The Villages, FL",Florida,2019,31.9,,,,,,,,,,,5.2
"Toledo, OH",Ohio,2019,311.4,,15.5,46.8,56.6,3,11.2,36.6,50.9,33.5,11.9,45.3
